日本,nihon (nee-hohn),Japan,日本は美しいです。 (Japan is beautiful.)
おる,oru (oh-roo),to be (humble),ここにおります。 (I am here.)
一,ichi (ee-chee),one; first,一つください。 (One
ので,node (noh-deh),because; since,忙しいので行けません。 (Can't go because busy.)
いく,iku (ee-koo),to go,学校に行く。 (I go to school.)
だけ,dake (dah-keh),only; just,水だけください。 (Just water
何,nani (nah-nee),what,何を食べますか？ (What will you eat?)
よ,yo (yoh),sentence ending (emphasis),美味しいよ！ (It's delicious!)
自分,jibun (jee-boon),oneself,自分でやります。 (I'll do it myself.)
しまう,shimau (shee-mah-oo),finish; end up doing,食べてしまった。 (Ended up eating it all.)
について,ni tsuite (nee-tsoo-ee-teh),about; concerning,日本について話す。 (Talk about Japan.)
方,kata (kah-tah),person; way,あの方は誰ですか？ (Who is that person?)
時,toki (toh-kee),time; when,食べる時に話さない。 (Don't talk when eating.)
ぬ,nu (noo),negative (archaic),知らぬ (don't know)
問題,mondai (mohn-dah-ee),problem; question,問題ありません。 (No problem.)
考える,kangaeru (kahn-gah-eh-roo),to think,よく考えます。 (I'll think about it.)
せる,seru (seh-roo),causative (make/let),食べさせる。 (Make someone eat.)
また,mata (mah-tah),again; also,また会いましょう！ (Let's meet again.)
今,ima (ee-mah),now,今、何時ですか？ (What time is it?)
みる,miru (mee-roo),try doing,食べてみる。 (I'll try eating it.)
でも,demo (deh-moh),but; however,難しい、でも楽しい。 (Difficult but fun.)
やる,yaru (yah-roo),to do (casual),宿題をやる。 (I do homework.)
わけ,wake (wah-keh),reason; meaning,そういうわけです。 (That's how it is.)
ござる,gozaru (goh-zah-roo),to be (formal),ありがとうございます。 (Thank you.)
たち,tachi (tah-chee),plural suffix,友達たち (friends)
ところ,tokoro (toh-koh-roh),place; about to,今、食べるところです。 (About to eat.)
さ,sa (sah),-ness; filler,大きさ (size)
いい,ii (ee),good; nice,これはいいです。 (This is good.)
って,tte (tteh),casual quote,行くって言った。 (Said they're going.)
前,mae (mah-eh),before; front,駅の前で会いましょう。 (Meet in front of station.)
第,dai (dah-ee),ordinal prefix,第一 (number one)
たり,tari (tah-ree),doing things like,食べたり飲んだりする。 (Eating
性,sei (seh-ee),nature; -ness,可能性 (possibility)
行く,iku (ee-koo),to go (kanji),日本に行きます。 (I will go to Japan.)
より,yori (yoh-ree),than; from,犬より猫が好き。 (I like cats more than dogs.)
そして,soshite (soh-shee-teh),and; then,食べた。そして寝た。 (Ate. Then slept.)
・,nakaguro (middle dot),separator for words/names,コカ・コーラ (Coca-Cola)
けど,kedo (keh-doh),but (casual),好きだけど高い。 (Like it but expensive.)
どう,dou (doh),how,どうですか？ (How is it?)
出る,deru (deh-roo),leave; go out,家を出る。 (I leave the house.)
時間,jikan (jee-kahn),time; hour,時間がありません。 (I don't have time.)
良い,yoi (yoh-ee),good,良い天気ですね。 (It's good weather.)
関係,kankei (kahn-keh-ee),relationship,良い関係です。 (It's a good relationship.)
家,ie (ee-eh),house; home,家に帰る。 (I go home.)
聞く,kiku (kee-koo),to listen; to ask,音楽を聞く。 (I listen to music.)
世界,sekai (seh-kah-ee),world,世界中を旅する。 (Travel around the world.)
気,ki (kee),spirit; mood; feeling,元気ですか？ (Are you well? / How is your spirit?)
社会,shakai (shah-kah-ee),society,社会に出る。 (Go out into society.)
読む,yomu (yoh-moo),to read,本を読む。 (I read a book.)
入る,hairu (hah-ee-roo),to enter,部屋に入る。 (I enter the room.)
来る,kuru (koo-roo),to come (kanji),彼が来る。 (He is coming.)
仕事,shigoto (shee-goh-toh),work; job,仕事に行きます。 (I go to work.)
同じ,onaji (oh-nah-jee),same,同じです。 (It's the same.)
彼,kare (kah-reh),he; boyfriend,彼は学生です。 (He is a student.)
国,kuni (koo-nee),country,私の国は日本です。 (My country is Japan.)
意味,imi (ee-mee),meaning,どういう意味ですか？ (What does it mean?)
力,chikara (chee-kah-rah),power; strength,力がある。 (Has power.)
会社,kaisha (kah-ee-shah),company,会社で働く。 (Work at a company.)
人間,ningen (neen-gehn),human being,人間関係 (human relationships)
現在,genzai (gehn-zah-ee),present; now,現在は10時です。 (Currently it's 10 o'clock.)
作る,tsukuru (tsoo-koo-roo),to make,料理を作る。 (I make food.)
間,aida/ma (ah-ee-dah),between; interval,AとBの間 (Between A and B)
可能,kanou (kah-noh),possible,可能です。 (It is possible.)
感じる,kanjiru (kahn-jee-roo),to feel,寒さを感じる。 (I feel the cold.)
出す,dasu (dah-soo),to take out; put out,ゴミを出す。 (Take out the trash.)
研究,kenkyuu (kehn-kyoo),research,日本語を研究する。 (Research Japanese.)
他,hoka (hoh-kah),other,他に何か？ (Anything else?)
次,tsugi (tsoo-gee),next,次は私です。 (Next is me.)
言葉,kotoba (koh-toh-bah),word; language,言葉がわからない。 (I don't understand the words.)
出来る,dekiru (deh-kee-roo),can do (kanji),出来ます。 (I can do it.)
受ける,ukeru (oo-keh-roo),to receive; take (test),試験を受ける。 (Take an exam.)
経済,keizai (keh-ee-zah-ee),economy,日本の経済 (Japan's economy)
あなた,anata (ah-nah-tah),you,あなたは誰ですか？ (Who are you?)
手,te (teh),hand,手を洗う。 (Wash hands.)
もらう,morau (moh-rah-oo),to receive,プレゼントをもらう。 (Receive a present.)
最近,saikin (sah-ee-keen),recent; lately,最近、忙しい。 (Lately
結果,kekka (keh-kka),result,良い結果 (good result)
買う,kau (kah-oo),to buy,本を買う。 (Buy a book.)
違う,chigau (chee-gah-oo),different; wrong,違います。 (That's wrong/different.)
映画,eiga (eh-ee-gah),movie,映画が好きです。 (I like movies.)
先生,sensei (sehn-seh-ee),teacher; doctor,先生、質問があります。 (Teacher
生活,seikatsu (seh-ee-kah-tsoo),life; living,楽しい生活 (fun life)
金,kane (kah-neh),money; gold,お金がない。 (I have no money.)
時代,jidai (jee-dah-ee),era; period,新しい時代 (new era)
政府,seifu (seh-ee-foo),government,日本政府 (Japanese government)
非常,hijou (hee-joh),emergency; very,非常に良い。 (Very good.)
得る,eru (eh-roo),to gain; get,情報を得る。 (Get information.)
店,mise (mee-seh),shop; store,店に行く。 (Go to the shop.)
まだ,mada (mah-dah),yet; still,まだです。 (Not yet.)
内容,naiyou (nah-ee-yoh),content,本の内容 (book content)
心,kokoro (koh-koh-roh),heart; mind,心が広い。 (Big-hearted.)
説明,setsumei (seh-tsoo-meh-ee),explanation,説明してください。 (Please explain.)
写真,shashin (shah-sheen),photo,写真を撮る。 (Take a photo.)
ただ,tada (tah-dah),just; only; free,ただの友達 (just a friend)
教育,kyouiku (kyoh-ee-koo),education,教育を受ける。 (Receive education.)
女性,josei (joh-seh-ee),woman; female,あの女性は誰？ (Who is that woman?)
子供,kodomo (koh-doh-moh),child,子供が遊ぶ。 (Children play.)
「,opening quote,starts quote,
」,closing quote,ends quote,
方法,houhou (hoh-hoh),method; way,良い方法 (good method)
大きい,ookii (oh-kee),big,大きい家 (big house)
名,na (nah),name,名を知らない。 (Don't know the name.)
利用,riyou (ree-yoh),use; utilization,バスを利用する。 (Use the bus.)
少し,sukoshi (soo-koh-shee),a little; few,少し待ってください。 (Please wait a little.)
紹介,shoukai (shoh-kah-ee),introduction,自己紹介 (self-introduction)
名前,namae (nah-mah-eh),name,名前は何ですか？ (What is your name?)
参加,sanka (sahn-kah),participation,イベントに参加する。 (Participate in an event.)
分かる,wakaru (wah-kah-roo),to understand,分かりました。 (I understood.)
大きな,ookina (oh-kee-nah),big (before noun),大きな夢 (big dream)
食べる,taberu (tah-beh-roo),to eat,ご飯を食べる。 (Eat a meal.)
感じ,kanji (kahn-jee),feeling; sense,いい感じ (good feeling)
入れる,ireru (ee-reh-roo),to put in,カバンに入れる。 (Put in the bag.)
見える,mieru (mee-eh-roo),to be visible,山が見える。 (The mountain is visible.)
東京,toukyou (toh-kyoh),Tokyo,東京に行きたい。 (I want to go to Tokyo.)
好き,suki (soo-kee),like,猫が好きです。 (I like cats.)
どこ,doko (doh-koh),where,トイレはどこですか？ (Where is the toilet?)
新しい,atarashii (ah-tah-rah-shee),new,新しい車 (new car)
強い,tsuyoi (tsoo-yoh-ee),strong,強い風 (strong wind)
悪い,warui (wah-roo-ee),bad,天気が悪い。 (The weather is bad.)
誰,dare (dah-reh),who,誰ですか？ (Who is it?)
大学,daigaku (dah-ee-gah-koo),university,大学で勉強する。 (Study at university.)
多く,ooku (oh-koo),many,多くの人 (many people)
物,mono (moh-noh),thing,物を大切にする。 (Cherish things.)
最後,saigo (sah-ee-goh),last; end,これが最後です。 (This is the last one.)
終わる,owaru (oh-wah-roo),to end,仕事が終わる。 (Work ends.)
彼女,kanojo (kah-noh-joh),she; girlfriend,彼女は優しい。 (She is kind.)
理解,rikai (ree-kah-ee),understanding,理解できました。 (I understood.)
学校,gakkou (gah-kkoh),school,学校へ行く。 (Go to school.)
とても,totemo (toh-teh-moh),very,とても美味しい。 (Very delicious.)
電話,denwa (dehn-wah),phone,電話をかける。 (Make a phone call.)
メール,meeru (meh-roo),email,メールを送る。 (Send an email.)
続ける,tsuzukeru (tsoo-zoo-keh-roo),to continue (something),勉強を続ける。 (Continue studying.)
変わる,kawaru (kah-wah-roo),to change,時代が変わる。 (Times change.)
続く,tsuzuku (tsoo-zoo-koo),to continue (itself),雨が続く。 (Rain continues.)
音楽,ongaku (ohn-gah-koo),music,音楽が好き。 (I like music.)
一番,ichiban (ee-chee-bahn),number one; best,これが一番いい。 (This is the best.)
重要,juuyou (joo-yoh),important,重要なこと (important thing)
最初,saisho (sah-ee-shoh),first,最初から (from the beginning)
サービス,saabisu (sah-bee-soo),service,良いサービス (good service)
もっと,motto (moh-ttoh),more,もっと食べたい。 (I want to eat more.)
水,mizu (mee-zoo),water,水をください。 (Water please.)
英語,eigo (eh-ee-goh),English,英語を話す。 (Speak English.)
質問,shitsumon (shee-tsoo-mohn),question,質問があります。 (I have a question.)
ほとんど,hotondo (hoh-tohn-doh),mostly; almost,ほとんど終わった。 (Almost finished.)
男,otoko (oh-toh-koh),man; male,男の人 (man)
理由,riyuu (ree-yoo),reason,理由を知りたい。 (I want to know the reason.)
場所,basho (bah-shoh),place,場所はどこ？ (Where is the place?)
機能,kinou (kee-noh),function,新しい機能 (new function)
お願い,onegai (oh-neh-gah-ee),request; please,お願いがあります。 (I have a request.)
いつも,itsumo (ee-tsoo-moh),always,いつもありがとう。 (Always
車,kuruma (koo-roo-mah),car,車に乗る。 (Ride in a car.)
相手,aite (ah-ee-teh),partner; opponent,話の相手 (conversation partner)
声,koe (koh-eh),voice,大きな声 (loud voice)
取る,toru (toh-roo),to take,それを取ってください。 (Please take that.)
計画,keikaku (keh-ee-kah-koo),plan,旅行の計画 (travel plan)
日本人,nihonjin (nee-hohn-jeen),Japanese person,私は日本人です。 (I am Japanese.)
今後,kongo (kohn-goh),from now on,今後の予定 (future schedule)
呼ぶ,yobu (yoh-boo),to call,タクシーを呼ぶ。 (Call a taxi.)
文化,bunka (boon-kah),culture,日本の文化 (Japanese culture)
体,karada (kah-rah-dah),body,体にいい (good for the body)
場合,baai (bah-ah-ee),case; situation,その場合は (in that case)
必要,hitsuyou (hee-tsoo-yoh),necessary,お金が必要だ。 (Money is necessary.)
情報,jouhou (joh-hoh),information,新しい情報 (new information)
上,ue (oo-eh),up; above,机の上 (on the desk)
事,koto (koh-toh),matter; thing,大事な事 (important matter)
使う,tsukau (tsoo-kah-oo),to use,パソコンを使う。 (Use a computer.)
行う,okonau (oh-koh-nah-oo),to conduct; to do,会議を行う。 (Hold a meeting.)
な,na (nah),don't (negative imperative),行くな！ (Don't go!)
話,hanashi (hah-nah-shee),story; talk,面白い話 (interesting story)
くれる,kureru (koo-reh-roo),to give (to me),教えてくれる。 ((Someone) teaches me.)
ながら,nagara (nah-gah-rah),while doing,食べながら (while eating)
よい,yoi (yoh-ee),good (formal),よいお年を。 (Have a good year.)
本,hon (hohn),book,本を読む。 (Read a book.)
ここ,koko (koh-koh),here,ここはどこ？ (Where is this place?)
分,fun/bun (foon/boon),minute; portion,5分待つ。 (Wait 5 minutes.)
目,me (meh),eye,目が痛い。 (Eye hurts.)
多い,ooi (oh-ee),many,人が多い。 (There are many people.)
知る,shiru (shee-roo),to know,それを知っている。 (I know that.)
今日,kyou (kyoh),today,今日は暑い。 (Today is hot.)
二,ni (nee),two,二人 (two people)
会,kai (kah-ee),meeting; association,飲み会 (drinking party)
書く,kaku (kah-koo),to write,名前を書く。 (Write name.)
円,en (ehn),yen; circle,100円 (100 yen)
し,shi (shee),and (listing reasons),雨だし、寒いし。 (It's raining
持つ,motsu (moh-tsoo),to hold; to have,ペンを持つ。 (Hold a pen.)
とき,toki (toh-kee),when (kana),暇なとき (when free)
コメント,komento (koh-mehn-toh),comment,コメントする (to comment)
化,ka (kah),-ization,変化 (change/transformation)
ご,go (goh),honorific prefix,ご家族 (your family)
じゃ,ja (jah),well then; then,じゃ、また。 (Well then
十,juu (joo),ten,十回 (10 times)
しかし,shikashi,however; but,"しかし、雨が降った。 (However, it rained.)"
委員,iin,committee member,委員を選ぶ。 (Choose a committee member.)
後,ato/go,after; later; behind,後で会いましょう。 (Let's meet later.)
かも,kamo,maybe; perhaps,雨が降るかも。 (It might rain.)
そういう,sou iu,that kind of; such,そういう話 (that kind of story)
点,ten,point; dot; score,良い点を取る。 (Get a good score.)
万,man,ten thousand,一万人 (ten thousand people)
べし,beshi,should; must (formal),行くべし。 (Should go.)
もう,mou,already; more; again,もう終わった。 (Already finished.)
わかる,wakaru,to understand; to know,分かりました。 (I understood.)
バック,bakku,back (from English),バックする (go back)
トラック,torakku,truck; track,トラックが来る。 (A truck comes.)
によって,ni yotte,by; according to; depending on,人によって違う。 (It differs by person.)
数,kazu/suu,number; amount,数を数える。 (Count numbers.)
記事,kiji,article; news item,新聞の記事 (newspaper article)
いただく,itadaku,to receive (humble); to eat/drink (polite),いただきます。 (Thank you for the meal.)
大,dai/oo,big; large; great,大きい (big)
等,tou/nado,etc.; and so on,"りんご等 (apples, etc.)"
くださる,kudasaru,to give (honorific),教えてくださる。 (Please teach me.)
回,kai,times; round; occasion,三回 (three times)
三,san,three,三人 (three people)
とか,toka,or; things like,りんごとかみかん (apples or oranges)
君,kimi,you (casual); lord,君は誰？ (Who are you?)
法,hou,law; method; way,法律 (law)
以上,ijou,more than; above; that's all,以上です。 (That's all.)
よる,yoru,to depend on; to be based on,天気による (depends on weather)
ほど,hodo,about; extent; the more...,それほど (that much)
そんな,sonna,such; that kind of,そんなことない。 (That's not the case.)
（,opening parenthesis,same as English,
）,closing parenthesis,same as English,
企業,kigyou,company; enterprise,大企業 (large company)
氏,shi,Mr./Ms. (formal),田中氏 (Mr. Tanaka)
ちょっと,chotto,a little; a bit; wait,ちょっと待って。 (Wait a moment.)
投稿,toukou,post; submission,記事を投稿する。 (Post an article.)
アメリカ,amerika,America,アメリカに行く。 (Go to America.)
しれる,shireru,to be known; to become known,知られる (to be known)
けれども,keredomo,but; however,高いけれども良い。 (Expensive but good.)
リンク,rinku,link,リンクをクリック (click the link)
今回,konkai,this time,今回の会議 (this time's meeting)
いたす,itasu,to do (humble),お手伝いいたします。 (I will help.)
高い,takai,high; expensive,高い山 (high mountain)
す,su,to do (archaic),すべき (should do)
ら,ra,plural marker; etc.,彼ら (they)
こういう,kou iu,this kind of; such,こういう本 (this kind of book)
おく,oku,to put; to place,机の上に置く。 (Put on the desk.)
僕,boku,"I; me (casual, male)",僕は学生だ。 (I am a student.)
そこ,soko,there (near listener),そこにいる。 (I'm there.)
による,ni yoru,by; according to,天気による (depending on weather)
度,do/tabi,degree; time; occasion,温度 (temperature)
しか,shika,only; nothing but,これしかない。 (There's only this.)
にる,niru,to resemble; to look like,父に似る。 (Resemble father.)
御,go/on,honorific prefix,御飯 (cooked rice)
くらい,kurai,about; approximately; extent,三時くらい (around 3 o'clock)
において,ni oite,in; at; regarding,日本において (in Japan)
一つ,hitotsu,one (thing),"一つください。 (One, please.)"
サイト,saito,site; website,ウェブサイト (website)
に対して,ni taishite,toward; against; regarding,彼に対して (toward him)
あるいは,aruwa,or; perhaps,あるいは明日 (or perhaps tomorrow)
さらに,sara ni,furthermore; more,さらに勉強する。 (Study more.)
技術,gijutsu,technology; technique,新しい技術 (new technology)
いろいろ,iroiro,various; various things,いろいろな本 (various books)
なんて,nante,what; how; such,なんて言う？ (What do you say?)
らしい,rashii,seems like; typical of,学生らしい (typical of a student)
やはり,yahari,as expected; after all,やはりそうだ。 (As expected.)
く,ku,adverb ending,早く (quickly)
うち,uchi,inside; within; while,家のうち (inside the house)
どの,dono,which,どの本？ (Which book?)
にとって,ni totte,for; to; regarding,私にとって (for me)
活動,katsudou,activity; action,活動する (to be active)
かなり,kanari,considerably; quite,かなり良い。 (Quite good.)
こんな,konna,this kind of; such,こんな本 (this kind of book)
状況,joukyou,situation; condition,状況を確認する。 (Check the situation.)
五,go,five,五人 (five people)
に対する,ni taisuru,toward; against,彼に対する (toward him)
無い,nai,none; not exist,お金がない。 (I have no money.)
管理,kanri,management; control,管理する (to manage)
特に,toku ni,especially; particularly,特に好き。 (Especially like it.)
環境,kankyou,environment,環境を守る。 (Protect the environment.)
ページ,peeji,page,次のページ (next page)
のに,noni,although; in spite of,高いのに買った。 (Bought it even though expensive.)
地域,chiiki,region; area,地域社会 (local community)
始める,hajimeru,to begin; to start,勉強を始める。 (Start studying.)
本当に,hontou ni,really; truly,本当に？ (Really?)
実際,jissai,actually; in fact,実際は違う。 (Actually it's different.)
中国,chuugoku,China,中国の文化 (Chinese culture)
市,shi,city,東京市 (Tokyo city)
先,saki,ahead; before; future,先に行く。 (Go ahead.)
個人,kojin,individual; personal,個人情報 (personal information)
意見,iken,opinion,意見を言う。 (Give an opinion.)
状態,joutai,condition; state,良い状態 (good condition)
歳,sai/toshi,years old; age,二十歳 (20 years old)
存在,sonzai,existence,存在する (to exist)
笑,warai,laugh; smile,笑う (to laugh)
つく,tsuku,to arrive; to attach,駅に着く。 (Arrive at station.)
システム,shisutemu,system,コンピューターシステム (computer system)
すべて,subete,all; everything,すべて終わった。 (Everything is finished.)
部分,bubun,part; section,一部 (one part)
用,you,use; purpose,用事 (errand)
部,bu,part; section; department,部分 (part)
県,ken,prefecture,東京県 (Tokyo prefecture)
日記,nikki,diary,日記を書く。 (Write a diary.)
いける,ikeru,can go; to be able to go,そこに行ける。 (Can go there.)
制度,seido,system; institution,教育制度 (education system)
使用,shiyou,use; usage,使用する (to use)
スる,suru,to do (slang/casual),スる (to do)
事業,jigyou,business; enterprise,事業を始める。 (Start a business.)
四,yon/shi,four,四人 (four people)
固定,kotei,fixed; permanent,固定電話 (landline)
調査,chousa,investigation; survey,調査する (to investigate)
基本,kihon,basic; foundation,基本を学ぶ。 (Learn basics.)
もちろん,mochiron,of course; certainly,もちろんです。 (Of course.)
関連,kanren,relation; connection,関連がある。 (There's a connection.)
一般,ippan,general; common,一般的 (general)
あと,ato,after; later; remaining,あとで (later)
開発,kaihatsu,development,ソフトウェア開発 (software development)
あの,ano,that (over there),あの人は誰？ (Who is that person?)
内,uchi/nai,inside; within,家の中 (inside the house)
作品,sakuhin,work; piece,作品を作る。 (Create a work.)
側,gawa,side,右側 (right side)
とる,toru,to take; to get,写真を撮る。 (Take a photo.)
様,sama,Mr./Ms. (very polite),お客様 (customer)
達,tachi,plural suffix,友達 (friends)
国民,kokumin,citizen; national,日本国民 (Japanese citizen)
に関する,ni kansuru,concerning; about,日本に関する本 (book about Japan)
こちら,kochira,this way; here (polite),"こちらへどうぞ。 (This way, please.)"
かける,kakeru,to hang; to call; to spend,電話をかける。 (Make a phone call.)
新,shin/atarashii,new,新しい車 (new car)
つける,tsukeru,to attach; to turn on,電気をつける。 (Turn on the light.)
事件,jiken,incident; case,事件が起きた。 (An incident occurred.)
所,tokoro,place; spot,場所 (place)
形,katachi,shape; form,丸い形 (round shape)
ふう,fuu,way; manner; style,こんな風に (in this way)
はず,hazu,should; supposed to,来るはずだ。 (Should come.)
まず,mazu,first; to start with,"まず、これを読む。 (First, read this.)"
約,yaku,about; approximately,約100人 (about 100 people)
こう,kou,this way; like this,こうする。 (Do it this way.)
主義,shugi,principle; -ism,民主主義 (democracy)
下,shita/shimo,below; under,机の下 (under the desk)
場,ba,place; spot,場所 (place)
ちゃん,chan,suffix (cute/affectionate),花ちゃん (Hana-chan)
書,sho,book; writing,図書 (books)
社,sha,company; society,会社 (company)
ン,n,katakana 'n' character,ン (katakana n)
米,kome/bei,rice; America,米を食べる。 (Eat rice.)
労働,roudou,labor; work,労働者 (worker)
国際,kokusai,international,国際会議 (international conference)
自身,jishin,oneself,自分自身 (oneself)
かかる,kakaru,to take (time); to cost,時間がかかる。 (Takes time.)
ほう,hou,direction; side; way,この方 (this way)
政治,seiji,politics,政治について (about politics)
別,betsu,different; separate,別の日 (different day)
ばかり,bakari,only; just; about to,食べたばかり (just ate)
系,kei,system; type,システム (system)
感,kan,feeling; sense,感じ (feeling)
億,oku,hundred million,一億円 (100 million yen)
頃,goro/koro,around; about (time),三時頃 (around 3 o'clock)
号,gou,number; issue,三号 (number 3)
における,ni okeru,in; at; regarding,日本における (in Japan)
長,nagai/chou,long; chief,長い道 (long road)
つまり,tsumari,in other words; that is,"つまり、そういうこと。 (In other words, that's it.)"
まま,mama,as is; unchanged,そのまま (as is)
下さる,kudasaru,to give (honorific),教えて下さる。 (Please teach me.)
与える,ataeru,to give; to provide,機会を与える。 (Give an opportunity.)
こ,ko,this (prefix),これ (this)
ちゃう,chau,casual contraction of てしまう,食べちゃう。 (End up eating.)
大変,taihen,very; serious; hard,大変だ。 (It's hard.)
彼ら,karera,they; them,彼らが来た。 (They came.)
評価,hyouka,evaluation; rating,評価する (to evaluate)
百,hyaku,hundred,百人 (hundred people)
やすい,yasui,easy; cheap,使いやすい (easy to use)
対応,taiou,response; correspondence,対応する (to respond)
求める,motomeru,to seek; to request,仕事を求める。 (Seek work.)
権,ken,right; authority,権利 (rights)
頭,atama,head,頭が痛い。 (Head hurts.)
あまり,amari,not much; too much,あまり好きじゃない。 (Don't like it much.)
子,ko,child,子供 (child)
自由,jiyuu,freedom; free,自由な時間 (free time)
すぎる,sugiru,to exceed; too much,食べすぎる。 (Eat too much.)
昨日,kinou,yesterday,昨日会った。 (Met yesterday.)
みたい,mitai,seems like; looks like,雨みたい。 (Looks like rain.)
すぐ,sugu,immediately; soon,すぐ来る。 (Come soon.)
これから,kore kara,from now on,これから始める。 (Start from now.)
戻る,modoru,to return; to go back,家に戻る。 (Return home.)
歴史,rekishi,history,日本の歴史 (Japanese history)
全体,zentai,whole; entire,全体を見る。 (See the whole thing.)
長い,nagai,long,長い道 (long road)
少ない,sukunai,few; little,人が少ない。 (Few people.)
気持ち,kimochi,feeling; mood,気持ちがいい。 (Feels good.)
報告,houkoku,report,報告する (to report)
程度,teido,degree; extent,ある程度 (to some extent)
元,moto/gen,origin; former,元気 (healthy)
人々,hitobito,people,多くの人々 (many people)
予定,yotei,plan; schedule,予定がある。 (I have plans.)
代表,daihyou,representative,代表を選ぶ。 (Choose a representative.)
その後,sono ato,after that; afterwards,"その後、帰った。 (After that, I went home.)"
経験,keiken,experience,経験がある。 (Have experience.)
型,kata,type; model,新しい型 (new type)
員,in,member,会員 (member)
ネット,netto,net; internet,ネットで調べる。 (Look it up on the internet.)
以外,igai,except; besides,それ以外 (besides that)
なぁ,naa,sentence ending (emotion),いいなぁ。 (That's nice.)
今年,kotoshi,this year,今年は2025年。 (This year is 2025.)
価格,kakaku,price,価格が高い。 (The price is high.)
投資,toushi,investment,投資する (to invest)
経営,keiei,management,会社の経営 (company management)
早い,hayai,early; fast,早く起きる。 (Wake up early.)
